# t x y vx vy E_kin E_pot E_total
0.00000 1.00000 0.00000 1.00000 2.00000 2.50000 0.00000 2.50000
0.01000 1.00999 0.01999 0.99900 1.99800 2.49500 0.00052 2.49552
0.02000 1.01997 0.03996 0.99698 1.99598 2.48896 0.00215 2.49111
0.03000 1.02993 0.05991 0.99391 1.99390 2.48176 0.00502 2.48677
0.04000 1.03985 0.07984 0.98976 1.99173 2.47330 0.00921 2.48250
0.05000 1.04972 0.09974 0.98449 1.98941 2.46348 0.01482 2.47830
0.06000 1.05953 0.11962 0.97808 1.98690 2.45221 0.02195 2.47417
0.07000 1.06927 0.13948 0.97052 1.98417 2.43942 0.03068 2.47010
0.08000 1.07894 0.15931 0.96178 1.98117 2.42504 0.04107 2.46611
0.09000 1.08850 0.17910 0.95185 1.97787 2.40900 0.05319 2.46219
0.10000 1.09797 0.19886 0.94072 1.97422 2.39125 0.06708 2.45833
0.11000 1.10731 0.21858 0.92839 1.97018 2.37175 0.08279 2.45455
0.12000 1.11653 0.23826 0.91483 1.96572 2.35048 0.10035 2.45083
0.13000 1.12560 0.25790 0.90006 1.96079 2.32741 0.11977 2.44718
0.14000 1.13452 0.27748 0.88408 1.95538 2.30255 0.14106 2.44360
0.15000 1.14328 0.29700 0.86688 1.94943 2.27588 0.16422 2.44009
0.16000 1.15186 0.31646 0.84847 1.94292 2.24743 0.18922 2.43665
0.17000 1.16024 0.33586 0.82886 1.93583 2.21722 0.21606 2.43328
0.18000 1.16843 0.35518 0.80807 1.92811 2.18529 0.24469 2.42998
0.19000 1.17640 0.37442 0.78609 1.91975 2.15169 0.27505 2.42675
0.20000 1.18414 0.39357 0.76296 1.91072 2.11647 0.30711 2.42358
0.21000 1.19165 0.41263 0.73868 1.90099 2.07970 0.34078 2.42049
0.22000 1.19891 0.43158 0.71327 1.89055 2.04146 0.37600 2.41746
0.23000 1.20591 0.45043 0.68675 1.87937 2.00183 0.41267 2.41450
