# t x y vx vy E_kin E_pot E_total
0.00000 -0.94548 -0.14534 -0.63852 -0.39630 0.28238 0.00942 0.29180
0.01000 -0.95189 -0.14930 -0.64281 -0.39696 0.28539 0.00665 0.29204
0.02000 -0.95833 -0.15328 -0.64642 -0.39752 0.28794 0.00435 0.29229
0.03000 -0.96481 -0.15725 -0.64933 -0.39799 0.29001 0.00252 0.29253
0.04000 -0.97131 -0.16124 -0.65154 -0.39835 0.29160 0.00118 0.29278
0.05000 -0.97784 -0.16522 -0.65306 -0.39860 0.29269 0.00034 0.29303
0.06000 -0.98437 -0.16921 -0.65388 -0.39874 0.29328 0.00001 0.29328
0.07000 -0.99091 -0.17319 -0.65400 -0.39876 0.29336 0.00018 0.29354
0.08000 -0.99745 -0.17718 -0.65341 -0.39866 0.29294 0.00085 0.29379
0.09000 -1.00398 -0.18117 -0.65213 -0.39843 0.29201 0.00204 0.29405
0.10000 -1.01049 -0.18515 -0.65014 -0.39807 0.29057 0.00373 0.29430
0.11000 -1.01698 -0.18913 -0.64745 -0.39758 0.28863 0.00592 0.29455
0.12000 -1.02343 -0.19310 -0.64407 -0.39695 0.28620 0.00861 0.29481
0.13000 -1.02985 -0.19707 -0.63999 -0.39618 0.28328 0.01178 0.29506
0.14000 -1.03623 -0.20102 -0.63523 -0.39527 0.27987 0.01543 0.29530
0.15000 -1.04256 -0.20497 -0.62977 -0.39421 0.27601 0.01954 0.29555
0.16000 -1.04882 -0.20891 -0.62364 -0.39300 0.27169 0.02410 0.29579
0.17000 -1.05502 -0.21283 -0.61683 -0.39165 0.26693 0.02909 0.29603
0.18000 -1.06116 -0.21674 -0.60935 -0.39014 0.26176 0.03450 0.29626
0.19000 -1.06721 -0.22063 -0.60121 -0.38848 0.25619 0.04030 0.29649
0.20000 -1.07318 -0.22451 -0.59242 -0.38666 0.25024 0.04647 0.29671
0.21000 -1.07905 -0.22836 -0.58299 -0.38469 0.24393 0.05300 0.29693
0.22000 -1.08483 -0.23220 -0.57291 -0.38255 0.23729 0.05985 0.29714
0.23000 -1.09051 -0.23602 -0.56222 -0.38026 0.23034 0.06700 0.29734
0.24000 -1.09607 -0.23981 -0.55090 -0.37782 0.22312 0.07442 0.29754
0.25000 -1.10152 -0.24357 -0.53898 -0.37521 0.21564 0.08209 0.29773
0.26000 -1.10685 -0.24731 -0.52647 -0.37244 0.20794 0.08997 0.29792
0.27000 -1.11205 -0.25102 -0.51338 -0.36952 0.20005 0.09804 0.29809
0.28000 -1.11712 -0.25470 -0.49972 -0.36643 0.19200 0.10626 0.29826
0.29000 -1.12204 -0.25835 -0.48551 -0.36319 0.18381 0.11461 0.29842
0.30000 -1.12682 -0.26196 -0.47076 -0.35980 0.17553 0.12305 0.29858
0.31000 -1.13145 -0.26554 -0.45548 -0.35624 0.16718 0.13154 0.29872
0.32000 -1.13593 -0.26909 -0.43968 -0.35254 0.15880 0.14006 0.29886
0.33000 -1.14025 -0.27259 -0.42340 -0.34868 0.15042 0.14857 0.29899
0.34000 -1.14440 -0.27606 -0.40663 -0.34467 0.14207 0.15704 0.29911
0.35000 -1.14838 -0.27948 -0.38941 -0.34052 0.13379 0.16543 0.29923
0.36000 -1.15218 -0.28287 -0.37173 -0.33621 0.12561 0.17372 0.29933
0.37000 -1.15581 -0.28621 -0.35363 -0.33177 0.11756 0.18187 0.29943
0.38000 -1.15925 -0.28950 -0.33512 -0.32719 0.10968 0.18984 0.29952
0.39000 -1.16251 -0.29275 -0.31621 -0.32247 0.10199 0.19761 0.29960
0.40000 -1.16557 -0.29595 -0.29693 -0.31761 0.09452 0.20515 0.29968
0.41000 -1.16845 -0.29910 -0.27730 -0.31263 0.08732 0.21243 0.29974
0.42000 -1.17112 -0.30220 -0.25733 -0.30751 0.08039 0.21941 0.29981
0.43000 -1.17359 -0.30525 -0.23705 -0.30228 0.07378 0.22608 0.29986
0.44000 -1.17586 -0.30825 -0.21647 -0.29693 0.06751 0.23240 0.29991
0.45000 -1.17792 -0.31119 -0.19562 -0.29146 0.06161 0.23834 0.29995
0.46000 -1.17977 -0.31408 -0.17451 -0.28588 0.05609 0.24390 0.29999
0.47000 -1.18141 -0.31691 -0.15316 -0.28020 0.05099 0.24903 0.30002
0.48000 -1.18283 -0.31968 -0.13161 -0.27442 0.04631 0.25373 0.30005
0.49000 -1.18404 -0.32240 -0.10986 -0.26854 0.04209 0.25798 0.30007
0.50000 -1.18503 -0.32505 -0.08794 -0.26257 0.03834 0.26175 0.30009
0.51000 -1.18580 -0.32765 -0.06588 -0.25652 0.03507 0.26503 0.30010
0.52000 -1.18634 -0.33018 -0.04369 -0.25039 0.03230 0.26781 0.30011
0.53000 -1.18667 -0.33265 -0.02139 -0.24419 0.03004 0.27008 0.30012
0.54000 -1.18677 -0.33506 0.00099 -0.23791 0.02830 0.27183 0.30013
0.55000 -1.18665 -0.33741 0.02343 -0.23158 0.02709 0.27305 0.30014
0.56000 -1.18630 -0.33970 0.04590 -0.22519 0.02641 0.27374 0.30014
0.57000 -1.18573 -0.34192 0.06840 -0.21874 0.02626 0.27388 0.30015
0.58000 -1.18494 -0.34407 0.09089 -0.21226 0.02666 0.27350 0.30015
0.59000 -1.18391 -0.34616 0.11335 -0.20574 0.02759 0.27257 0.30016
0.60000 -1.18267 -0.34818 0.13576 -0.19919 0.02905 0.27111 0.30017
0.61000 -1.18120 -0.35014 0.15809 -0.19261 0.03105 0.26913 0.30017
0.62000 -1.17951 -0.35204 0.18034 -0.18602 0.03356 0.26662 0.30019
0.63000 -1.17759 -0.35386 0.20247 -0.17941 0.03659 0.26361 0.30020
0.64000 -1.17546 -0.35563 0.22446 -0.17280 0.04012 0.26010 0.30022
0.65000 -1.17311 -0.35732 0.24629 -0.16620 0.04414 0.25610 0.30024
0.66000 -1.17053 -0.35895 0.26794 -0.15960 0.04863 0.25163 0.30026
0.67000 -1.16775 -0.36051 0.28938 -0.15303 0.05358 0.24671 0.30029
0.68000 -1.16475 -0.36201 0.31061 -0.14647 0.05897 0.24136 0.30032
0.69000 -1.16154 -0.36344 0.33159 -0.13995 0.06477 0.23560 0.30036
0.70000 -1.15812 -0.36481 0.35230 -0.13347 0.07097 0.22944 0.30041
0.71000 -1.15449 -0.36611 0.37274 -0.12704 0.07754 0.22293 0.30046
0.72000 -1.15066 -0.36735 0.39286 -0.12065 0.08445 0.21607 0.30052
0.73000 -1.14664 -0.36852 0.41267 -0.11433 0.09168 0.20890 0.30058
0.74000 -1.14241 -0.36964 0.43213 -0.10808 0.09921 0.20145 0.30066
0.75000 -1.13800 -0.37069 0.45123 -0.10190 0.10699 0.19374 0.30074
0.76000 -1.13339 -0.37168 0.46994 -0.09580 0.11501 0.18581 0.30082
0.77000 -1.12860 -0.37260 0.48826 -0.08979 0.12323 0.17769 0.30092
0.78000 -1.12363 -0.37347 0.50616 -0.08388 0.13162 0.16941 0.30102
0.79000 -1.11848 -0.37428 0.52363 -0.07808 0.14014 0.16099 0.30113
0.80000 -1.11316 -0.37503 0.54064 -0.07238 0.14877 0.15249 0.30125
