# t x y vx vy E_kin E_pot E_total
0.00000 1.00000 0.00000 0.00000 2.00000 2.00000 0.00000 2.00000
0.01000 1.00000 0.02000 0.00000 2.00000 2.00000 0.00000 2.00000
0.02000 1.00000 0.04000 -0.00002 2.00000 2.00000 0.00000 2.00000
0.03000 1.00000 0.06000 -0.00010 2.00000 1.99999 0.00002 2.00001
0.04000 1.00000 0.08000 -0.00028 1.99999 1.99997 0.00005 2.00002
0.05000 0.99999 0.10000 -0.00060 1.99996 1.99992 0.00012 2.00004
0.06000 0.99998 0.12000 -0.00109 1.99991 1.99982 0.00026 2.00008
0.07000 0.99997 0.14000 -0.00180 1.99983 1.99965 0.00047 2.00012
0.08000 0.99995 0.16000 -0.00277 1.99969 1.99938 0.00080 2.00019
0.09000 0.99991 0.17999 -0.00402 1.99949 1.99899 0.00128 2.00027
0.10000 0.99987 0.19998 -0.00559 1.99921 1.99843 0.00193 2.00036
0.11000 0.99980 0.21997 -0.00752 1.99882 1.99767 0.00281 2.00048
0.12000 0.99971 0.23996 -0.00984 1.99831 1.99667 0.00395 2.00062
0.13000 0.99960 0.25994 -0.01257 1.99766 1.99539 0.00539 2.00079
0.14000 0.99946 0.27991 -0.01575 1.99683 1.99379 0.00719 2.00098
0.15000 0.99928 0.29988 -0.01940 1.99581 1.99181 0.00938 2.00119
0.16000 0.99907 0.31983 -0.02355 1.99456 1.98942 0.01201 2.00143
0.17000 0.99881 0.33977 -0.02821 1.99307 1.98656 0.01513 2.00169
0.18000 0.99850 0.35969 -0.03342 1.99130 1.98319 0.01880 2.00198
0.19000 0.99814 0.37959 -0.03919 1.98922 1.97926 0.02304 2.00230
0.20000 0.99772 0.39947 -0.04554 1.98680 1.97473 0.02791 2.00265
0.21000 0.99723 0.41932 -0.05247 1.98403 1.96956 0.03346 2.00302
0.22000 0.99666 0.43915 -0.06001 1.98086 1.96370 0.03971 2.00341
0.23000 0.99602 0.45894 -0.06817 1.97726 1.95711 0.04673 2.00383
0.24000 0.99530 0.47869 -0.07695 1.97322 1.94976 0.05453 2.00428
0.25000 0.99448 0.49840 -0.08636 1.96869 1.94160 0.06315 2.00475
0.26000 0.99357 0.51806 -0.09641 1.96366 1.93262 0.07262 2.00524
0.27000 0.99255 0.53767 -0.10709 1.95808 1.92278 0.08298 2.00576
0.28000 0.99142 0.55722 -0.11842 1.95195 1.91206 0.09423 2.00630
0.29000 0.99018 0.57671 -0.13039 1.94522 1.90044 0.10641 2.00685
0.30000 0.98881 0.59612 -0.14299 1.93788 1.88791 0.11951 2.00742
0.31000 0.98731 0.61546 -0.15623 1.92990 1.87446 0.13356 2.00801
0.32000 0.98568 0.63472 -0.17010 1.92125 1.86007 0.14855 2.00862
0.33000 0.98391 0.65388 -0.18459 1.91192 1.84476 0.16448 2.00924
0.34000 0.98199 0.67295 -0.19970 1.90188 1.82852 0.18135 2.00987
0.35000 0.97991 0.69192 -0.21541 1.89112 1.81136 0.19915 2.01051
0.36000 0.97768 0.71077 -0.23171 1.87960 1.79330 0.21786 2.01116
0.37000 0.97527 0.72951 -0.24860 1.86733 1.77436 0.23745 2.01182
0.38000 0.97270 0.74811 -0.26605 1.85428 1.75456 0.25792 2.01248
0.39000 0.96995 0.76659 -0.28405 1.84043 1.73393 0.27921 2.01315
0.40000 0.96702 0.78492 -0.30259 1.82578 1.71251 0.30130 2.01381
0.41000 0.96390 0.80310 -0.32165 1.81031 1.69034 0.32415 2.01449
0.42000 0.96058 0.82112 -0.34121 1.79401 1.66745 0.34771 2.01516
0.43000 0.95707 0.83898 -0.36126 1.77687 1.64389 0.37193 2.01582
0.44000 0.95335 0.85665 -0.38177 1.75890 1.61973 0.39676 2.01649
0.45000 0.94943 0.87415 -0.40272 1.74007 1.59501 0.42214 2.01715
0.46000 0.94530 0.89145 -0.42409 1.72039 1.56979 0.44801 2.01780
0.47000 0.94095 0.90855 -0.44587 1.69985 1.54415 0.47430 2.01845
0.48000 0.93638 0.92544 -0.46803 1.67846 1.51813 0.50096 2.01909
0.49000 0.93159 0.94212 -0.49054 1.65621 1.49182 0.52789 2.01972
0.50000 0.92657 0.95856 -0.51339 1.63310 1.46529 0.55505 2.02034
0.51000 0.92132 0.97477 -0.53654 1.60914 1.43861 0.58233 2.02095
0.52000 0.91583 0.99074 -0.55999 1.58434 1.41186 0.60968 2.02154
0.53000 0.91012 1.00646 -0.58369 1.55870 1.38512 0.63701 2.02213
0.54000 0.90416 1.02191 -0.60763 1.53223 1.35847 0.66423 2.02270
0.55000 0.89796 1.03710 -0.63178 1.50493 1.33198 0.69127 2.02325
0.56000 0.89152 1.05201 -0.65612 1.47682 1.30574 0.71805 2.02380
0.57000 0.88484 1.06663 -0.68062 1.44791 1.27984 0.74448 2.02433
0.58000 0.87791 1.08096 -0.70526 1.41821 1.25435 0.77049 2.02484
0.59000 0.87073 1.09499 -0.73001 1.38774 1.22936 0.79598 2.02534
